system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,BD,CEC,Clay,Fragm,N,OCD,SOC,Sand,Silt,crs_extract,embedding_version,embedding_year,fid,pH,x,y,.geo
00000000000000000030,-0.05173394848135333,0.09842368319876971,0.12456747404844293,0.008858131487889272,-0.21413302575932336,-0.024605920799692427,-0.019930795847750864,0.17937716262975778,0.0629911572472126,0.041584006151480196,0.19986159169550174,0.17279507881584008,-0.08882737408688965,0.07972318339100345,0.03844675124951941,0.03254133025759323,-0.17279507881584008,-0.1929104190695886,0.003936947327950788,-0.012056901191849288,-0.15378700499807765,0.024605920799692427,-0.186082276047674,-0.05173394848135333,-0.08421376393694734,0.2364628988850442,-0.15378700499807765,0.05536332179930796,-0.15378700499807765,-0.010396001537870049,-0.05536332179930796,-0.1085121107266436,-0.21413302575932336,-0.04822760476739715,0.16000000000000003,0.2364628988850442,0.09842368319876971,0.007443291041906958,-0.029773164167627833,0.19986159169550174,-0.01574778931180315,0.03254133025759323,-0.09842368319876971,-0.08882737408688965,-0.13588619761630144,-0.15378700499807765,0.07972318339100345,-0.07535563244905807,0.01574778931180315,0.2599000384467512,0.029773164167627833,0.12456747404844293,-0.044844290657439445,0.08882737408688965,0.08421376393694734,-0.03844675124951941,-0.08421376393694734,-0.11374086889657825,-0.09356401384083046,0.041584006151480196,0.31009611687812383,-0.2364628988850442,-0.03543252595155709,0.0629911572472126,1.35,14.1729,9.0,14.7979,3.9386,16.8147,14.3174,77.4922,13.5078,EPSG:32717,V1_ANNUAL,2024,49,7.1251,694451.7602562581,9122485.832247954,"{""type"":""Point"",""coordinates"":[-79.2360006283076,-7.934898978990083]}"
00000000000000000036,0.044844290657439445,0.0629911572472126,0.13588619761630144,-0.008858131487889272,-0.05911572472126105,0.09356401384083046,0.09356401384083046,0.16000000000000003,-0.017777777777777778,0.15378700499807765,0.11374086889657825,0.28444444444444444,-0.04822760476739715,0.04822760476739715,0.1929104190695886,0.13016532103037293,-0.13588619761630144,-0.0629911572472126,-0.09842368319876971,-0.1929104190695886,-0.13016532103037293,-0.024605920799692427,-0.11909265667051133,0.041584006151480196,-0.05536332179930796,0.2288965782391388,-0.1085121107266436,0.17279507881584008,-0.06698961937716265,-0.0629911572472126,0.0271280276816609,-0.024605920799692427,-0.08882737408688965,-0.16000000000000003,0.13588619761630144,0.29287197231833906,0.14173010380622836,-0.01574778931180315,-0.01574778931180315,0.19986159169550174,0.09356401384083046,-0.05173394848135333,-0.186082276047674,-0.07111111111111111,0.05173394848135333,-0.1085121107266436,-0.022206843521722412,-0.05536332179930796,-0.07972318339100345,0.16633602460592078,-0.08882737408688965,0.186082276047674,-0.09842368319876971,0.029773164167627833,0.13016532103037293,-0.09842368319876971,-0.11374086889657825,-0.0629911572472126,-0.17279507881584008,0.07972318339100345,0.2599000384467512,-0.186082276047674,0.044844290657439445,9.84236831987697E-4,1.3942,13.63,8.2822,18.046,5.0372,13.747,9.2533,80.0912,11.6266,EPSG:32717,V1_ANNUAL,2024,55,7.1422,697464.5433632705,9128224.139986841,"{""type"":""Point"",""coordinates"":[-79.20890267120579,-7.882901401605853]}"
0000000000000000000f,-0.006151480199923107,0.17937716262975778,0.2288965782391388,0.006151480199923107,-0.16000000000000003,-0.017777777777777778,0.13016532103037293,0.14769703960015382,-0.022206843521722412,0.10340638216070744,0.17279507881584008,0.2761399461745483,-0.029773164167627833,0.07972318339100345,0.10340638216070744,0.08882737408688965,-0.010396001537870049,-0.2761399461745483,-0.11374086889657825,-0.03844675124951941,-0.08882737408688965,0.1085121107266436,-0.12456747404844293,0.08882737408688965,-0.08421376393694734,0.24415224913494812,-0.16633602460592078,0.2364628988850442,-0.03844675124951941,-0.07972318339100345,-0.024605920799692427,-0.14769703960015382,-0.0629911572472126,-0.044844290657439445,0.07535563244905807,0.2761399461745483,0.03254133025759323,0.019930795847750864,-0.04822760476739715,0.07535563244905807,0.029773164167627833,0.024605920799692427,-0.08882737408688965,-0.05911572472126105,-0.024605920799692427,-0.19986159169550174,0.07535563244905807,-0.044844290657439445,-0.003014225297962322,0.16000000000000003,-0.017777777777777778,0.019930795847750864,-0.05911572472126105,0.0629911572472126,0.13016532103037293,-0.06698961937716265,-0.14173010380622836,-0.041584006151480196,-0.2679584775086506,0.07535563244905807,0.14769703960015382,-0.24415224913494812,-0.012056901191849288,0.03254133025759323,1.3575,14.2612,8.891,16.0083,3.9465,15.541,14.1472,77.6063,13.5109,EPSG:32717,V1_ANNUAL,2024,16,7.1749,694859.8171729522,9122472.75207063,"{""type"":""Point"",""coordinates"":[-79.23229957443323,-7.935001538314312]}"
00000000000000000055,-0.041584006151480196,0.13016532103037293,0.17279507881584008,-0.04822760476739715,-0.11909265667051133,-0.010396001537870049,0.11374086889657825,0.13016532103037293,-0.022206843521722412,0.06698961937716265,0.14173010380622836,0.3014225297962323,-0.029773164167627833,0.13016532103037293,0.11374086889657825,0.13588619761630144,-0.03844675124951941,-0.3188927335640138,-0.14769703960015382,-0.13016532103037293,-0.09356401384083046,0.07535563244905807,-0.16000000000000003,0.09842368319876971,-0.08882737408688965,0.22145328719723184,-0.1929104190695886,0.21413302575932336,-0.08882737408688965,-0.041584006151480196,-0.007443291041906958,-0.13016532103037293,-0.09356401384083046,-0.05911572472126105,0.06698961937716265,0.22145328719723184,-0.03543252595155709,0.017777777777777778,-0.004982698961937716,0.16633602460592078,0.08882737408688965,0.07111111111111111,-0.044844290657439445,-0.09356401384083046,-0.012056901191849288,-0.19986159169550174,0.07972318339100345,-0.09356401384083046,-0.044844290657439445,0.11909265667051133,-0.022206843521722412,0.0271280276816609,-0.09356401384083046,0.002214532871972318,0.13588619761630144,-0.09356401384083046,-0.11374086889657825,-0.06698961937716265,-0.2679584775086506,0.10340638216070744,0.14173010380622836,-0.186082276047674,-0.012056901191849288,-0.012056901191849288,1.342,13.4155,7.9732,15.0522,4.0122,16.7515,14.8788,79.1261,12.9007,EPSG:32717,V1_ANNUAL,2024,86,7.1909,694581.6244734704,9121921.065324629,"{""type"":""Point"",""coordinates"":[-79.23480113012421,-7.940000190595228]}"
00000000000000000046,0.041584006151480196,0.0629911572472126,0.14769703960015382,-0.007443291041906958,-0.09356401384083046,0.07111111111111111,0.08421376393694734,0.12456747404844293,-0.12456747404844293,0.08421376393694734,0.16633602460592078,0.2069357939254133,-0.1085121107266436,0.14173010380622836,0.12456747404844293,0.044844290657439445,-0.0629911572472126,-0.05536332179930796,-0.15378700499807765,-0.08882737408688965,0.06698961937716265,0.13016532103037293,-0.16633602460592078,0.07972318339100345,-0.14769703960015382,0.13588619761630144,-0.14173010380622836,0.19986159169550174,-0.024605920799692427,-0.10340638216070744,0.05173394848135333,-0.11374086889657825,-0.09356401384083046,-0.15378700499807765,0.13588619761630144,0.29287197231833906,-0.007443291041906958,0.044844290657439445,-0.10340638216070744,0.14769703960015382,0.019930795847750864,-0.15378700499807765,-0.17279507881584008,-0.044844290657439445,0.01384083044982699,-0.17937716262975778,0.09842368319876971,-0.003014225297962322,-0.10340638216070744,0.1085121107266436,0.003014225297962322,0.11374086889657825,-0.14769703960015382,0.024605920799692427,0.09842368319876971,-0.11909265667051133,-0.09842368319876971,-0.05173394848135333,-0.2761399461745483,0.09356401384083046,0.2069357939254133,-0.2761399461745483,0.07972318339100345,-5.536332179930795E-4,1.392,12.7116,8.3799,14.0986,4.7133,14.3642,9.9515,79.8071,11.8129,EPSG:32717,V1_ANNUAL,2024,71,7.1988,696717.4511127698,9126247.638580827,"{""type"":""Point"",""coordinates"":[-79.21560024098807,-7.900800233234385]}"
00000000000000000062,0.09356401384083046,0.11909265667051133,0.12456747404844293,-0.008858131487889272,0.044844290657439445,0.07111111111111111,0.09842368319876971,0.14173010380622836,-0.022206843521722412,0.14173010380622836,0.14769703960015382,0.33685505574778934,-0.017777777777777778,0.07111111111111111,0.15378700499807765,0.12456747404844293,-0.06698961937716265,-0.07111111111111111,-0.09842368319876971,-0.1929104190695886,-0.07535563244905807,0.05911572472126105,-0.14769703960015382,0.05911572472126105,-0.09356401384083046,0.14173010380622836,-0.09842368319876971,0.2599000384467512,-0.006151480199923107,-0.11374086889657825,0.024605920799692427,-0.11374086889657825,-0.05173394848135333,-0.17937716262975778,0.08421376393694734,0.2679584775086506,0.03844675124951941,-0.01574778931180315,-0.03254133025759323,0.21413302575932336,0.1085121107266436,-0.044844290657439445,-0.16000000000000003,-0.11374086889657825,0.07535563244905807,-0.13588619761630144,-0.007443291041906958,-0.044844290657439445,-0.13588619761630144,0.12456747404844293,-0.08882737408688965,0.14173010380622836,-0.12456747404844293,0.0629911572472126,0.07972318339100345,-0.13016532103037293,9.84236831987697E-4,-0.09356401384083046,-0.2519646289888504,0.010396001537870049,0.186082276047674,-0.19986159169550174,0.022206843521722412,0.05173394848135333,1.3409,12.6818,8.4299,15.459,4.2176,16.0433,15.185,77.722,13.8149,EPSG:32717,V1_ANNUAL,2024,99,7.2,694723.5563977199,9124077.20156972,"{""type"":""Point"",""coordinates"":[-79.23359717283978,-7.920500541688509]}"
0000000000000000003f,-0.03844675124951941,0.14173010380622836,0.017777777777777778,-0.019930795847750864,-0.08421376393694734,0.09842368319876971,0.11374086889657825,0.07972318339100345,-0.024605920799692427,0.06698961937716265,0.21413302575932336,0.19986159169550174,-0.16633602460592078,0.06698961937716265,0.09842368319876971,0.006151480199923107,-0.13588619761630144,0.10340638216070744,-0.08421376393694734,-0.019930795847750864,-0.07111111111111111,0.22145328719723184,-0.14173010380622836,-0.07972318339100345,-0.09842368319876971,0.024605920799692427,-0.13588619761630144,0.05536332179930796,-0.1085121107266436,-0.13016532103037293,0.13588619761630144,-0.019930795847750864,-0.11909265667051133,-0.13016532103037293,0.14769703960015382,0.2599000384467512,0.05911572472126105,0.0271280276816609,-0.003936947327950788,0.2069357939254133,0.04822760476739715,-0.07535563244905807,-0.13016532103037293,-0.09842368319876971,-0.13016532103037293,-0.186082276047674,0.07111111111111111,-0.07972318339100345,0.05911572472126105,0.17937716262975778,-0.03844675124951941,0.16000000000000003,-0.11909265667051133,0.15378700499807765,0.09356401384083046,-0.05536332179930796,-0.024605920799692427,-0.1929104190695886,-0.10340638216070744,0.11374086889657825,0.2599000384467512,-0.3188927335640138,0.06698961937716265,0.03844675124951941,1.366,13.5152,7.7254,17.2133,3.5444,14.5499,14.321,78.8615,13.4412,EPSG:32717,V1_ANNUAL,2024,64,7.2302,691243.3223124545,9122576.790730009,"{""type"":""Point"",""coordinates"":[-79.26510072178237,-7.934198900124694]}"
00000000000000000019,-0.010396001537870049,0.05536332179930796,0.21413302575932336,-0.044844290657439445,0.002214532871972318,-0.003936947327950788,0.08421376393694734,0.14769703960015382,-0.0629911572472126,0.11909265667051133,0.14173010380622836,0.34602076124567477,0.019930795847750864,0.17279507881584008,0.16633602460592078,0.0271280276816609,-0.05536332179930796,-0.2679584775086506,-0.09842368319876971,-0.15378700499807765,0.07535563244905807,0.010396001537870049,-0.07972318339100345,0.05911572472126105,-0.024605920799692427,0.15378700499807765,-0.1929104190695886,0.22145328719723184,0.06698961937716265,-0.03254133025759323,0.03254133025759323,-0.07972318339100345,-0.08882737408688965,-0.09356401384083046,0.10340638216070744,0.2288965782391388,0.05911572472126105,0.08882737408688965,0.03844675124951941,0.19986159169550174,0.09842368319876971,-0.14173010380622836,-0.07972318339100345,-0.07535563244905807,0.0271280276816609,-0.2069357939254133,0.08421376393694734,0.012056901191849288,-0.07972318339100345,0.08882737408688965,-0.01574778931180315,0.17279507881584008,-0.03844675124951941,-0.04822760476739715,0.14173010380622836,-0.08421376393694734,-0.11909265667051133,-0.006151480199923107,-0.33685505574778934,-0.04822760476739715,0.13016532103037293,-0.05536332179930796,-0.003936947327950788,0.019930795847750864,1.3937,14.4927,8.8883,13.7988,2.128,11.6218,11.9315,80.6554,10.4628,EPSG:32717,V1_ANNUAL,2024,26,7.2465,702614.4555071654,9130580.037322598,"{""type"":""Point"",""coordinates"":[-79.16230060609624,-7.861399616326138]}"
0000000000000000002a,-0.024605920799692427,0.03844675124951941,0.16633602460592078,-0.07972318339100345,-0.09842368319876971,0.03254133025759323,0.002214532871972318,0.2364628988850442,-0.11374086889657825,0.12456747404844293,0.10340638216070744,0.29287197231833906,0.05173394848135333,0.09356401384083046,0.09842368319876971,0.07972318339100345,-0.05536332179930796,-0.2519646289888504,-0.06698961937716265,-0.10340638216070744,-0.03543252595155709,0.041584006151480196,-0.1085121107266436,0.05536332179930796,-0.08421376393694734,0.16000000000000003,-0.17937716262975778,0.17937716262975778,-0.029773164167627833,-0.041584006151480196,-0.03844675124951941,-0.09842368319876971,-0.08421376393694734,-0.1085121107266436,0.05173394848135333,0.2599000384467512,0.05911572472126105,0.03844675124951941,-0.05911572472126105,0.186082276047674,0.13588619761630144,-0.07111111111111111,-0.13588619761630144,-0.07972318339100345,0.08421376393694734,-0.186082276047674,0.03844675124951941,-0.09356401384083046,-0.11374086889657825,0.16633602460592078,-0.05536332179930796,0.14173010380622836,-0.029773164167627833,0.007443291041906958,0.03254133025759323,-0.13016532103037293,-0.019930795847750864,-0.044844290657439445,-0.37425605536332185,0.044844290657439445,0.186082276047674,-0.2069357939254133,0.022206843521722412,0.01574778931180315,1.3649,12.8304,7.4756,16.7491,2.8516,14.7357,14.8269,80.4384,12.086,EPSG:32717,V1_ANNUAL,2024,43,7.2785,693860.5377772762,9128726.235618152,"{""type"":""Point"",""coordinates"":[-79.24160125923072,-7.8785002688661026]}"
0000000000000000005b,-0.01574778931180315,0.17937716262975778,0.10340638216070744,-0.05173394848135333,-0.2069357939254133,-0.024605920799692427,0.03844675124951941,0.24415224913494812,0.10340638216070744,0.06698961937716265,0.2069357939254133,0.186082276047674,-0.03254133025759323,0.044844290657439445,0.0629911572472126,0.08882737408688965,-0.16000000000000003,-0.16000000000000003,0.03543252595155709,0.007443291041906958,-0.2288965782391388,0.041584006151480196,-0.13016532103037293,-0.05911572472126105,-0.0629911572472126,0.17279507881584008,-0.16000000000000003,0.08421376393694734,-0.15378700499807765,-0.03543252595155709,-0.09356401384083046,-0.13016532103037293,-0.16000000000000003,-0.08882737408688965,0.16000000000000003,0.21413302575932336,0.08882737408688965,6.151480199923106E-5,-0.041584006151480196,0.16000000000000003,-0.03543252595155709,0.0271280276816609,-0.10340638216070744,-0.09356401384083046,-0.1085121107266436,-0.11909265667051133,0.03543252595155709,-0.08882737408688965,0.044844290657439445,0.28444444444444444,0.019930795847750864,0.14173010380622836,-0.044844290657439445,0.08421376393694734,0.06698961937716265,0.003014225297962322,-0.07972318339100345,-0.14173010380622836,-0.05911572472126105,0.06698961937716265,0.29287197231833906,-0.2519646289888504,-0.05911572472126105,0.0271280276816609,1.3584,13.9063,8.1902,15.4767,3.8735,16.358,15.1639,78.1086,13.7012,EPSG:32717,V1_ANNUAL,2024,92,7.3185,694459.1894574745,9121689.291826902,"{""type"":""Point"",""coordinates"":[-79.23590252808441,-7.942100427191402]}"
00000000000000000020,-0.004982698961937716,0.16000000000000003,0.09842368319876971,-0.09356401384083046,-0.16633602460592078,0.03543252595155709,0.03254133025759323,0.2288965782391388,0.029773164167627833,0.08421376393694734,0.16633602460592078,0.16633602460592078,-0.07535563244905807,0.07972318339100345,0.1085121107266436,0.08421376393694734,-0.13588619761630144,-0.16633602460592078,-0.05911572472126105,0.041584006151480196,-0.16000000000000003,0.05536332179930796,-0.10340638216070744,5.536332179930795E-4,-0.04822760476739715,0.21413302575932336,-0.19986159169550174,0.06698961937716265,-0.12456747404844293,-0.041584006151480196,-0.07111111111111111,-0.07972318339100345,-0.17279507881584008,-0.05911572472126105,0.2364628988850442,0.19986159169550174,0.13588619761630144,0.08882737408688965,-0.08421376393694734,0.13016532103037293,-0.041584006151480196,-0.09842368319876971,-0.11374086889657825,-0.01574778931180315,-0.05536332179930796,-0.15378700499807765,0.07972318339100345,-0.11374086889657825,0.03543252595155709,0.2761399461745483,0.006151480199923107,0.13588619761630144,-0.01384083044982699,0.07111111111111111,0.11909265667051133,-0.07111111111111111,-0.10340638216070744,-0.13588619761630144,-0.11909265667051133,0.16000000000000003,0.24415224913494812,-0.2519646289888504,-0.008858131487889272,-0.010396001537870049,1.2843,14.4864,7.9457,19.4241,3.4868,17.5575,19.0269,77.4188,14.6376,EPSG:32717,V1_ANNUAL,2024,33,7.3657,690645.3086754337,9121959.84655765,"{""type"":""Point"",""coordinates"":[-79.2705006931581,-7.939799531047822]}"
0000000000000000004b,0.022206843521722412,0.13588619761630144,0.11909265667051133,-0.007443291041906958,-0.14769703960015382,0.06698961937716265,0.17279507881584008,0.24415224913494812,0.044844290657439445,0.044844290657439445,0.14173010380622836,0.16633602460592078,-0.07111111111111111,0.041584006151480196,0.17279507881584008,0.17279507881584008,-0.16000000000000003,0.004982698961937716,-0.03844675124951941,-0.03844675124951941,-0.1929104190695886,0.05911572472126105,-0.08421376393694734,-0.03844675124951941,-0.10340638216070744,0.14769703960015382,-0.05911572472126105,0.12456747404844293,-0.15378700499807765,-0.09356401384083046,-0.022206843521722412,-0.05536332179930796,-0.13588619761630144,-0.17279507881584008,0.14769703960015382,0.29287197231833906,0.08882737408688965,-0.024605920799692427,-0.07111111111111111,0.15378700499807765,0.08421376393694734,-0.029773164167627833,-0.2599000384467512,-0.041584006151480196,0.017777777777777778,-0.07972318339100345,-0.019930795847750864,-0.0629911572472126,-0.03844675124951941,0.19986159169550174,-0.012056901191849288,0.16000000000000003,-0.09356401384083046,0.07535563244905807,0.11374086889657825,-0.0271280276816609,-0.09356401384083046,0.004982698961937716,-0.09842368319876971,0.09356401384083046,0.29287197231833906,-0.2761399461745483,-5.536332179930795E-4,-9.84236831987697E-4,1.3686,12.7707,8.0656,13.678,3.6438,14.9112,10.8589,79.4286,12.5336,EPSG:32717,V1_ANNUAL,2024,76,7.3971,695904.6379614961,9124414.939317219,"{""type"":""Point"",""coordinates"":[-79.22289978941257,-7.917401466456365]}"
00000000000000000025,-0.029773164167627833,0.19986159169550174,0.07972318339100345,-0.05173394848135333,-0.19986159169550174,0.0271280276816609,0.01384083044982699,0.2679584775086506,-0.09356401384083046,0.16633602460592078,0.17937716262975778,0.22145328719723184,0.007443291041906958,0.1085121107266436,0.04822760476739715,0.08882737408688965,-0.16000000000000003,-0.17279507881584008,-0.019930795847750864,0.006151480199923107,-0.13016532103037293,0.029773164167627833,-0.17279507881584008,-0.017777777777777778,-0.03543252595155709,0.2519646289888504,-0.17279507881584008,0.09842368319876971,-0.08421376393694734,-0.03543252595155709,-0.07972318339100345,-0.024605920799692427,-0.186082276047674,-0.029773164167627833,0.14173010380622836,0.28444444444444444,0.12456747404844293,0.0629911572472126,-0.024605920799692427,0.1929104190695886,0.006151480199923107,-0.012056901191849288,-0.09842368319876971,-0.08421376393694734,0.012056901191849288,-0.15378700499807765,0.07972318339100345,-0.07111111111111111,0.010396001537870049,0.2288965782391388,0.05536332179930796,0.13588619761630144,0.003936947327950788,0.08882737408688965,0.03254133025759323,-0.05173394848135333,-0.044844290657439445,-0.07111111111111111,-0.17279507881584008,0.03844675124951941,0.21413302575932336,-0.24415224913494812,-0.024605920799692427,-0.012056901191849288,1.4064,11.8262,9.2441,21.3971,3.9271,13.1532,17.2344,78.3265,12.4272,EPSG:32717,V1_ANNUAL,2024,38,7.4057,697448.8615950784,9121953.157276286,"{""type"":""Point"",""coordinates"":[-79.20880011188157,-7.939598871500419]}"
