fid,longitude,latitude,BD,CEC,Fragm,Sand,Silt,Clay,N,OCD,pH,SOC
1,-79.2469,-7.9443,1.3789,14.0107,15.8476,78.6073,13.4987,7.8940,3.6080,14.2995,7.8897,14.6405
2,-79.1576,-7.7962,1.3778,16.3838,13.6934,72.9334,14.6973,12.3471,1.2915,16.4289,7.7778,15.1631
3,-79.1554,-7.8294,1.4120,14.2244,15.1933,72.2686,13.7515,13.9719,1.1120,11.2035,7.8000,8.5000
4,-79.1703,-7.8510,1.3859,15.5644,15.8976,74.2300,16.2257,9.5380,1.7369,14.2604,7.7081,13.0924
5,-79.1352,-7.7923,1.4242,15.8709,15.3112,79.4715,12.1559,8.3859,1.0070,11.2816,7.8867,7.3491
6,-79.2273,-7.9795,1.3186,11.6431,17.4262,77.3972,15.3135,7.3881,3.7570,14.6852,7.7243,19.7275
7,-79.2330,-7.9627,1.3898,12.8090,16.5222,78.6978,12.7453,8.5569,3.5143,15.4220,7.7000,15.6517
8,-79.1496,-7.8416,1.4097,14.0935,15.1200,79.4771,12.8228,7.7159,1.0336,11.3269,7.8628,8.6939
9,-79.2193,-7.9810,1.3400,13.5954,17.5249,78.0981,15.0024,6.8769,3.5348,14.0162,7.7769,13.6722
10,-79.1529,-7.8691,1.4273,12.3208,18.9000,83.2197,9.4696,7.3106,1.5400,10.3591,8.0000,7.8362
11,-79.2207,-7.9372,1.3709,12.2879,17.8183,79.6925,11.3747,8.8629,4.1619,14.6400,7.4594,16.6657
12,-79.1700,-7.8782,1.3932,13.7340,16.6221,83.2067,9.8601,6.9724,3.2962,12.7134,7.7286,11.7219
13,-79.2676,-7.9454,1.2912,14.0779,17.5261,77.6697,15.2281,7.1022,2.9619,17.8881,7.6954,20.3201
14,-79.2304,-7.9317,1.3535,15.0118,16.2973,76.0870,14.6244,9.2402,4.0609,15.5691,7.4736,16.2790
15,-79.2437,-7.9556,1.4097,12.9381,17.1885,76.1848,15.4051,8.4125,3.4056,13.6546,7.7214,17.1668
16,-79.2323,-7.9350,1.3575,14.2612,16.0083,77.6063,13.5109,8.8910,3.9465,15.5410,7.1749,14.1472
17,-79.1804,-7.8884,1.4021,15.0309,16.3299,82.0723,10.4691,7.4376,2.4976,13.1401,7.5704,9.8774
18,-79.2314,-7.8782,1.3800,13.2104,17.3918,79.5479,12.3551,8.0828,4.9330,13.1625,7.8132,10.8068
19,-79.2381,-7.9743,1.3115,13.2521,18.3921,79.1625,12.8601,7.9774,3.5824,17.1146,7.7012,18.8912
20,-79.1951,-7.9337,1.4181,14.0546,17.5879,81.5815,10.9158,7.4968,4.2152,13.5125,7.7000,12.4199
21,-79.2029,-7.8743,1.3821,14.4782,19.1488,79.4144,12.8460,7.7184,5.1924,17.7837,7.6661,13.7968
22,-79.2118,-7.9451,1.3717,12.5687,20.7074,78.3757,11.9339,9.7783,4.0381,15.3365,7.7000,19.0414
23,-79.2110,-7.8888,1.4165,13.6598,16.0559,79.7215,11.5864,8.6922,4.7068,14.1773,7.4987,11.3353
24,-79.1841,-7.8376,1.4190,12.6929,16.7560,76.1727,13.8173,10.0665,1.9256,11.4740,8.0481,12.0875
25,-79.2522,-7.8825,1.3745,12.6089,18.5562,80.6831,11.4672,7.8819,2.6674,13.8438,7.8546,16.4277
26,-79.1623,-7.8614,1.3937,14.4927,13.7988,80.6554,10.4628,8.8883,2.1280,11.6218,7.2465,11.9315
27,-79.2053,-7.9080,1.3900,12.9039,17.5887,79.7053,12.0503,8.3103,3.3565,13.7156,7.6109,9.3341
