variable,PC,Importance
BD,PC1,6.161326710416921
BD,PC2,14.431985088857433
BD,PC3,18.64817848679352
BD,PC4,100
BD,PC5,5.018179170806864
BD,PC6,16.722782914942307
BD,PC7,29.59395123115597
BD,PC8,11.782084338640685
BD,PC9,0
BD,PC10,2.7994828594516257
BD,PC11,13.628746133488118
BD,PC12,6.427861860099029
BD,PC13,14.637457562730665
BD,PC14,32.05721719520276
BD,PC15,9.288710325746564
CEC,PC1,25.292091360754853
CEC,PC2,20.09056616086171
CEC,PC3,100
CEC,PC4,63.1198898482573
CEC,PC5,0
CEC,PC6,8.053401625755548
CEC,PC7,15.007541357605946
CEC,PC8,8.62014473919678
CEC,PC9,32.666245748576436
CEC,PC10,62.789075223699776
CEC,PC11,43.88774594845151
CEC,PC12,14.287511607444017
CEC,PC13,16.489917669250058
CEC,PC14,12.637718963243616
CEC,PC15,11.533308110609504
Fragm,PC1,17.25747246534504
Fragm,PC2,19.97899207783547
Fragm,PC3,13.981896658054128
Fragm,PC4,100
Fragm,PC5,14.20651317334934
Fragm,PC6,11.587809927522063
Fragm,PC7,1.2362217115625362
Fragm,PC8,0
Fragm,PC9,62.07791476704927
Fragm,PC10,18.68228687126333
Fragm,PC11,6.51185915307211
Fragm,PC12,33.145145597540704
Fragm,PC13,7.46340604728236
Fragm,PC14,4.728686725364035
Fragm,PC15,8.397785574560041
Sand,PC1,92.4626420286956
Sand,PC2,9.970727675161575
Sand,PC3,20.60992621143286
Sand,PC4,64.63471950243232
Sand,PC5,10.998376557505955
Sand,PC6,0
Sand,PC7,28.17461457682631
Sand,PC8,18.19342300640986
Sand,PC9,100
Sand,PC10,7.9461244097403325
Sand,PC11,23.51006491645852
Sand,PC12,10.594843423525663
Sand,PC13,37.53629542948065
Sand,PC14,4.037523189793256
Sand,PC15,45.5215172916003
Silt,PC1,91.93313344522804
Silt,PC2,13.719103736835075
Silt,PC3,13.013668778509436
Silt,PC4,100
Silt,PC5,14.92718596956811
Silt,PC6,7.380974562055669
Silt,PC7,12.281715678703026
Silt,PC8,17.46401140282838
Silt,PC9,69.6132171835999
Silt,PC10,0
Silt,PC11,36.596999950504724
Silt,PC12,6.460511342326604
Silt,PC13,35.115060938624346
Silt,PC14,24.41638584184022
Silt,PC15,29.85336197024995
Clay,PC1,62.11545092703279
Clay,PC2,26.762374813348934
Clay,PC3,100
Clay,PC4,52.598778178546034
Clay,PC5,0
Clay,PC6,6.270612385583746
Clay,PC7,38.68064910121542
Clay,PC8,25.015015280726143
Clay,PC9,84.98821217847613
Clay,PC10,16.434703994656488
Clay,PC11,9.024190622182973
Clay,PC12,3.1588400805610837
Clay,PC13,11.540973341735077
Clay,PC14,0.30010752042612837
Clay,PC15,45.75956053411157
N,PC1,26.792718127906902
N,PC2,15.647839658961264
N,PC3,100
N,PC4,64.8317808297905
N,PC5,28.55771061146936
N,PC6,22.116795528875592
N,PC7,18.844136293295925
N,PC8,14.504632649322136
N,PC9,3.750220712191087
N,PC10,4.390423555701804
N,PC11,6.56251420879008
N,PC12,0
N,PC13,10.30866024134223
N,PC14,13.82187604644098
N,PC15,12.49477495072046
OCD,PC1,1.005247692342535
OCD,PC2,19.737622288582347
OCD,PC3,49.94451631197495
OCD,PC4,100
OCD,PC5,8.52208656515584
OCD,PC6,21.311403953456797
OCD,PC7,3.499880664002951
OCD,PC8,6.542727622685751
OCD,PC9,0
OCD,PC10,14.585666804198347
OCD,PC11,3.0271574330550046
OCD,PC12,5.09291027260834
OCD,PC13,44.35525784662861
OCD,PC14,14.805417586862104
OCD,PC15,13.49213263003275
pH,PC1,41.35093674694005
pH,PC2,95.49307677018602
pH,PC3,29.653777315190265
pH,PC4,7.186891720705322
pH,PC5,44.95568111311127
pH,PC6,36.12457098075925
pH,PC7,100
pH,PC8,18.48735332115348
pH,PC9,35.40043287616849
pH,PC10,38.05957139972069
pH,PC11,67.36087447648914
pH,PC12,16.808224978993234
pH,PC13,24.209955141083846
pH,PC14,38.8528641934016
pH,PC15,0
SOC,PC1,6.8539781006488925
SOC,PC2,8.509087125125438
SOC,PC3,9.358867909513833
SOC,PC4,100
SOC,PC5,10.4978231302674
SOC,PC6,13.121237697047652
SOC,PC7,18.255298204055638
SOC,PC8,5.864806897448255
SOC,PC9,0
SOC,PC10,6.816297027048529
SOC,PC11,15.941194061220813
SOC,PC12,3.9132050567400523
SOC,PC13,10.476083635942
SOC,PC14,15.813512236752949
SOC,PC15,1.8157234481779294
